data_entry,item_code,item_group,variant,kilogram_tray,class,sku,fg,primary_packaging,secondary_packaging,prod_date,left,exp_date,status,storage_num,inventory_head,inventory_head2,received_by,qty_head,qty_kilo,balance_head,balance_kilo 
FZ ADOBO CUT 1SPSK,CC_FZSP0159SK1.00ON,CHOICE CUT,FROZEN,1,-,ADOBO CUT,ADOBO CUT SKIN ON - 1KG SUNNY PACK,SUNNY PACK,PLAIN SACK,28-Mar-25,219,28-Jan-26,FG AVAILABLE,null,96,100,null,96,100,0,0 
FZ BREAST BUTTERFLY CUT SKIN OFF 1CPSK,FF_FZCP0238SK1.00OF,FILLET,FROZEN,1,-,BREAST BUTTERFLY CUT,BREAST BUTTERFLY CUT SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,24-Mar-25,215,24-Jan-26,FG AVAILABLE,null,406,460.1,null,0,0,406,460.1 
FZ BREAST FILLET SKIN OFF 0.5SPSK,FF_FZSP0262SK0.50OF,FILLET,FROZEN,0.5,-,BREAST FILLET,BREAST FILLET SKIN OFF - 0.5KG SUNNY PACK,SUNNY PACK,PLAIN SACK,27-Mar-25,218,27-Jan-26,FG AVAILABLE,null,865,505.2,null,865,505.2,0,0 
FZ BREAST FILLET SKIN OFF 1CPSK,FF_FZCP0239SK1.00OF,FILLET,FROZEN,1,-,BREAST FILLET,BREAST FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,27-Mar-25,218,27-Jan-26,FG AVAILABLE,null,77,80.5,null,77,80.5,0,0 
FZ BREAST FILLET SKIN OFF 1CPSK,FF_FZCP0239SK1.00OF,FILLET,FROZEN,1,-,BREAST FILLET,BREAST FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,28-Mar-25,219,28-Jan-26,FG AVAILABLE,null,833,923,null,833,923,0,0 
FZ BREAST FILLET SKIN OFF 1CPSK,FF_FZCP0239SK1.00OF,FILLET,FROZEN,1,-,BREAST FILLET,BREAST FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,"1,095","1,193.70",null,"1,095","1,193.70",0,0 
FZ GOOD FEET PR 1SPSK,BP_FZSP0203SK-1.00PR,BY PRODUCT,FROZEN,1,-,GOOD FEET,GOOD FEET -KG 1 SUNNY PACK,SUNNY PACK,PLAIN SACK,31-Mar-25,7,30-Jun-25,EXPIRES SOON,null,74,74,null,74,74,0,0 
FZ GOOD TRIMMINGS SC 1CPSK,BP_FZCP0180SK-1.00SC,BY PRODUCT,FROZEN,1,-,GOOD TRIMMINGS,GOOD TRIMMINGS -KG 1 CLEAR PACK,CLEAR PACK,PLAIN SACK,28-Mar-25,5,28-Jun-25,EXPIRES SOON,null,147,157.9,null,147,157.9,0,0 
FZ GROUND CHICKEN 0.5SPSK,CC_FZSP0150SK0.50ON,CHOICE CUT,FROZEN,0.5,-,GROUND CHICKEN,GROUND CHICKEN SKIN ON - 0.5KG SUNNY PACK,SUNNY PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,200,100,null,200,100,0,0 
FZ GROUND CHICKEN 1SPSK,CC_FZSP0163SK1.00ON,CHOICE CUT,FROZEN,1,-,GROUND CHICKEN,GROUND CHICKEN SKIN ON - 1KG SUNNY PACK,SUNNY PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,100,100,null,100,100,0,0 
FZ LEG QUARTER FILLET (GANG-GANG) SKIN ON 1CPSK,FF_FZCP0243SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET (GANG-GANG),LEG QUARTER FILLET (GANG-GANG) SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,24-Mar-25,215,24-Jan-26,FG AVAILABLE,null,741,800.4,null,741,800.4,0,0 
FZ LEG QUARTER FILLET (GANG-GANG) SKIN ON 1CPSK,FF_FZCP0243SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET (GANG-GANG),LEG QUARTER FILLET (GANG-GANG) SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,27-Mar-25,218,27-Jan-26,FG AVAILABLE,null,51,55.4,null,51,55.4,0,0 
FZ LEG QUARTER FILLET (GANG-GANG) SKIN ON 1CPSK,FF_FZCP0243SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET (GANG-GANG),LEG QUARTER FILLET (GANG-GANG) SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,28-Mar-25,219,28-Jan-26,FG AVAILABLE,null,50,54.3,null,50,54.3,0,0 
FZ LEG QUARTER FILLET (GANG-GANG) SKIN ON 1CPSK,FF_FZCP0243SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET (GANG-GANG),LEG QUARTER FILLET (GANG-GANG) SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,37,40.1,null,37,40.1,0,0 
FZ LEG QUARTER FILLET SKIN OFF 1CPSK,FF_FZCP0241SK1.00OF,FILLET,FROZEN,1,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,27-Mar-25,218,27-Jan-26,FG AVAILABLE,null,553,611.3,null,553,611.3,0,0 
FZ LEG QUARTER FILLET SKIN OFF 1CPSK,FF_FZCP0241SK1.00OF,FILLET,FROZEN,1,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,26-Mar-25,217,26-Jan-26,FG AVAILABLE,null,113,115.8,null,113,115.8,0,0 
FZ LEG QUARTER FILLET SKIN ON 1CPSK,FF_FZCP0242SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,27-Mar-25,218,27-Jan-26,FG AVAILABLE,null,456,500,null,456,500,0,0 
FZ LEG QUARTER FILLET SKIN ON 1CPSK,FF_FZCP0242SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,28-Mar-25,219,28-Jan-26,FG AVAILABLE,null,258,282.3,null,258,282.3,0,0 
FZ LEG QUARTER FILLET SKIN ON 1CPSK,FF_FZCP0242SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,654,373.2,null,0,0,654,373.2 
FZ LIVER SC 0.5SPSK,BP_FZSP0159SK-0.50SC,BY PRODUCT,FROZEN,0.5,-,LIVER,LIVER -KG 0.5 SUNNY PACK,SUNNY PACK,PLAIN SACK,31-Mar-25,7,30-Jun-25,EXPIRES SOON,null,200,100,null,200,100,0,0 
FZ NECK PR 0.5SPSK,BP_FZSP0160SK-0.50PR,BY PRODUCT,FROZEN,0.5,-,NECK,NECK -KG 0.5 SUNNY PACK,SUNNY PACK,PLAIN SACK,31-Mar-25,7,30-Jun-25,EXPIRES SOON,null,100,50,null,100,50,0,0 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,21-Mar-25,212,21-Jan-26,FG AVAILABLE,null,962,999.2,null,0,0,962,999.2 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,20-Mar-25,211,20-Jan-26,FG AVAILABLE,null,553,573.2,null,0,0,553,573.2 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,22-Mar-25,213,22-Jan-26,FG AVAILABLE,null,240,245.3,null,0,0,240,245.3 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,27-Mar-25,218,27-Jan-26,FG AVAILABLE,null,1148,"1,258.70",null,0,0,"1,148","1,258.70" 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,29-Mar-25,220,29-Jan-26,FG AVAILABLE,null,837,898,null,0,0,837,898 
FZ WING 5KGSGB,CC_FZ280172SK0.50,CHOICE CUT,FROZEN,5,-,WING,WING  - 5KG 28 x 28 x 002,28 x 28 x 002,PLAIN SACK,06-Dec-24,105,06-Oct-25,FOR DEPLETION,null,77,355.2,null,0,0,77,355.2 
FZ WING 5KGSGB,CC_FZ280172SK0.50,CHOICE CUT,FROZEN,5,-,WING,WING  - 5KG 28 x 28 x 002,28 x 28 x 002,PLAIN SACK,05-Dec-24,104,05-Oct-25,FOR DEPLETION,null,49,224,null,0,0,49,224 
FZ WING 5KGSGB,CC_FZ280172SK0.50,CHOICE CUT,FROZEN,5,-,WING,WING  - 5KG 28 x 28 x 002,28 x 28 x 002,PLAIN SACK,04-Dec-24,103,04-Oct-25,FOR DEPLETION,null,105,490.9,null,0,0,105,490.9 
FZA 0.8-CPNLSK,DC_FZCP0157SKA0.8NL,DRESSED CHICKEN,FROZEN,0.8,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OFF SIZE A 0.8 CLEAR PACK,CLEAR PACK,PLAIN SACK,19-Feb-25,179,19-Dec-25,FG AVAILABLE,null,"3,060","2,616.90",null,0,0,"3,060","2,616.90" 
FZA 0.8-CPNLSK,DC_FZCP0157SKA0.8NL,DRESSED CHICKEN,FROZEN,0.8,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OFF SIZE A 0.8 CLEAR PACK,CLEAR PACK,PLAIN SACK,20-Feb-25,180,20-Dec-25,FG AVAILABLE,null,4796,"4,287.50",null,0,0,"4,796","4,287.50" 
FZA 0.9-CPNLSK,DC_FZCP0158SKA0.9NL,DRESSED CHICKEN,FROZEN,0.9,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OFF SIZE A 0.9 CLEAR PACK,CLEAR PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,613,600.3,null,613,600.3,0,0 
FZA 1.0-CPNLSK,DC_FZCP0159SKA1.0NL,DRESSED CHICKEN,FROZEN,1,A,WHOLE CHICKEN,FZ WHOLE CHICKEN PRIME A 1.0 CLEAR PACK,CLEAR PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,799,823.1,null,799,823.1,0,0 
FZA 1.5-SPNLSK,DC_FZSP0143SKA1.5NL,DRESSED CHICKEN,FROZEN,1.5,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OS PRIME A 1.5 SUNNY PACK - JUMBO,SUNNY PACK - JUMBO,PLAIN SACK,28-Mar-25,219,28-Jan-26,FG AVAILABLE,null,250,390.9,null,250,390.9,0,0 
FZ WING 1CPSK,CC_FZCP0121SK1.00ON,CHOICE CUT,FROZEN,1,-,WING,WING SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,513,552,TR00098205/RR00408,0,0,513,552 
FZA 0.8-CPNLSK,DC_FZCP0157SKA0.8NL,DRESSED CHICKEN,FROZEN,0.8,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OFF SIZE A 0.8 CLEAR PACK,CLEAR PACK,PLAIN SACK,31-Mar-25,222,31-Jan-26,FG AVAILABLE,null,"2,025","1,750.50",TR00098205/RR00408,0,0,"2,025","1,750.50" 
FZ GOOD TRIMMINGS SC 1CPSK,BP_FZCP0180SK-1.00SC,BY PRODUCT,FROZEN,1,-,GOOD TRIMMINGS,GOOD TRIMMINGS -KG 1 CLEAR PACK,CLEAR PACK,PLAIN SACK,02-Apr-25,9,02-Jul-25,EXPIRES SOON,null,129,139.6,TR00098233/RR00410,129,139.6,0,0 
FZ BREAST FILLET SKIN OFF 1CPSK,FF_FZCP0239SK1.00OF,FILLET,FROZEN,1,-,BREAST FILLET,BREAST FILLET SKIN OFF - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,"1,518","1,671.20",TR00098233/RR00410,"1,518","1,671.20",0,0 
FZ LEG QUARTER FILLET SKIN ON 0.5SPSK,FF_FZSP0265SK0.50ON,FILLET,FROZEN,0.5,-,LEG QUARTER FILLET,LEG QUARTER FILLET SKIN ON - 0.5KG SUNNY PACK,SUNNY PACK,PLAIN SACK,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,"1,829","1,059.30",TR00098233/RR00410,"1,829","1,059.30",0,0 
FZ LEG QUARTER FILLET (GANG-GANG) SKIN ON 1CPSK,FF_FZCP0243SK1.00ON,FILLET,FROZEN,1,-,LEG QUARTER FILLET (GANG-GANG),LEG QUARTER FILLET (GANG-GANG) SKIN ON - 1KG CLEAR PACK,CLEAR PACK,PLAIN SACK,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,464,500,TR00098233/RR00410,464,500,0,0 
FZ SOUP PACK 1SPSK,CC_FZSP0167SK1.00ON,CHOICE CUT,FROZEN,1,-,SOUP PACK,SOUP PACK SKIN ON - 1KG SUNNY PACK,SUNNY PACK,PLAIN SACK,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,521,591.7,TR00098233/RR00410,521,591.7,0,0 
FZ NECK PR 0.5SPSK,BP_FZSP0160SK-0.50PR,BY PRODUCT,FROZEN,0.5,-,NECK,NECK -KG 0.5 SUNNY PACK,SUNNY PACK,PLAIN SACK,02-Apr-25,9,02-Jul-25,EXPIRES SOON,null,100,50,TR00098233/RR00410,100,50,0,0 
FZ NECK PR 1SPSK,BP_FZSP0208SK-1.00PR,BY PRODUCT,FROZEN,1,-,NECK,NECK -KG 1 SUNNY PACK,SUNNY PACK,PLAIN SACK,02-Apr-25,9,02-Jul-25,EXPIRES SOON,null,100,100,TR00098233/RR00410,100,100,0,0 
FZ LIVER SC 0.5SPSK,BP_FZSP0159SK-0.50SC,BY PRODUCT,FROZEN,0.5,-,LIVER,LIVER -KG 0.5 SUNNY PACK,SUNNY PACK,PLAIN SACK,02-Apr-25,9,02-Jul-25,EXPIRES SOON,null,200,100,TR00098233/RR00410,200,100,0,0 
FZC -SKNL,DC_FZPS0176NACNL,DRESSED CHICKEN,FROZEN,0,C,WHOLE CHICKEN FCC,FZ WHOLE CHICKEN FCC  C  PLAIN SACK,PLAIN SACK,NA,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,930,"1,055.90",TR00098244/RR00412,0,0,930,"1,055.90" 
FZA 1.7-CPNLSK,DC_FZCP0166SKA1.7NL,DRESSED CHICKEN,FROZEN,1.7,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OVERSIZE A 1.7 CLEAR PACK,CLEAR PACK,PLAIN SACK,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,70,121.4,TR00098244/RR00412,0,0,70,121.4 
FZA 1.6-CPNLSK,DC_FZCP0165SKA1.6NL,DRESSED CHICKEN,FROZEN,1.6,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OVERSIZE A 1.6 CLEAR PACK,CLEAR PACK,PLAIN SACK,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,160,263.5,TR00098244/RR00412,0,0,160,263.5 
FZA 1.4-CPNLSK,DC_FZCP0163SKA1.4NL,DRESSED CHICKEN,FROZEN,1.4,A,WHOLE CHICKEN,FZ WHOLE CHICKEN OS PRIME A 1.4 CLEAR PACK,CLEAR PACK,PLAIN SACK,02-Apr-25,224,02-Feb-26,FG AVAILABLE,null,"1,320","1,906.70",TR00098244/RR00412,640,896,680,"1,010.70" 
